@relation 'C__Users_Luan e Daiana_Dropbox_Coisas do TCC não-compartilhadas_workspace-tcc2_Dados_Treinamento'

@attribute text string
@attribute @@class@@ {01-LAD,02-ACP,03-PNC,04-NEU}

@data
'Ana aponta soluções para superlotação de maternidade\n    31/08/2011 15:02\n    Iracema Corso/assessoria parlamentar\n    \n    Providências emergenciais devem ser tomadas para resolver os problemas estruturais e de superlotação da Maternidade Nossa Senhora de Lourdes. A deputada Ana Lúcia (PT) declarou durante a sessão plenária desta quarta-feira, 31 de agosto, que o governador Marcelo Déda (PT) pode e deve intervir com agilidade para solucionar a falta de material hospitalar e a demanda por pediatras nos estabelecimentos públicos de saúde.\nAna Lúcia recordou que os altos índices de mortalidade de fetos, bebês e parturientes costumavam acontecer com bem mais incidência no passado. “Eu já fiz muita denúncia do alto índice de mortalidade infantil, na época era na Maternidade Hildete Falcão. Foi aí que o governador emergencialmente fez um convênio para construir a Maternidade Nossa Senhora de Lourdes, que deveria atender somente casos de gravidez de alto risco”, recordou Ana. A deputada explicou que o fechamento de outras maternidades no estado de Sergipe, como aconteceu nos municípios de Lagarto, Nossa Senhora do Socorro e Própriá, acarretou perda de mais de 60 leitos e resultou na superlotação da Maternidade Nossa Senhora de Lourdes.\nA deputada sugeriu que a falta de pediatras pode ser resolvida com o pagamento de horas-extras aos profissionais contratados em regime estatutário. “O médico estatutário normalmente não pode ter hora-extra, mas se o governador autorizar, isso é possível. Precisamos conversar com o secretário de Saúde, pois ele precisa fazer esta mediação de duas questões fundamentais. Uma dela é ver o que podemos fazer em termos de recursos humanos. Outro agravante é a falta de material minimamente necessário para o atendimento, e esta é uma maternidade que atende os casos de gravidez de alto risco. É preciso resolver este problema administrativo, de logística. É só decretar estado de emergência e comprar o material necessário. E todos os dias você tem que ter uma rotina para ver tudo que há na Maternidade porque ali é um estabelecimento que salva vidas”, apresentou.\nQuanto ao índice de mortalidade de fetos e parturientes, Ana Lúcia considerou que não há motivo para tanto alarde porque a mortalidade de bebês já foi bem maior. “O índice de mortalidade não é alto. Muito pelo contrário, ele já foi bem mais elevado. E isso é reflexo da competência dos profissionais. Então também ficou uma grande lição para a gente. Os profissionais querem realizar seu trabalho de salvar vidas. Mas para isso a saúde precisa ser uma prioridade absoluta, o que depende de uma logística que dê segurança ao desempenho de suas funções. Então para que estes profissionais trabalhem com tranquilidade precisamos fortalecer a luta pelo Plano de Carreira dos trabalhadores da saúde. Nós temos que motivar o funcionário público”, avaliou Ana Lúcia.\nA deputada defendeu que a Assemblei Legislativa marque posição sobre o assunto,,e aproveitou a ocasião para lembrar o compromisso firmado pelo governador Marcelo Déda com a Saúde. “Tenho certeza que o secretário de Saúde vai nos receber. E esta Casa precisa tomar uma posição porque educação e saúde são questões fundamentais para a população. E aquilo que não está correto, o nosso Governo não tem problema nenhum de consertar. Inclusive o governador Marcelo Déda deixou claro que saúde é uma prioridade dele\", reiterou.',01-LAD
'Ana Lúcia alerta que prédios de escolas precisam de reforma\n    \n    A deputada Ana Lúcia Vieira (PT) fez três indicações solicitando a reforma da Escola Estadual Jackson de Figueiredo, situada no Centro de Aracaju, e das Escolas Estaduais Professora Ofenísia S. Freire e Dra. Maria do Carmo Alves, no Conjunto Augusto Franco. Em breve as indicações serão encaminhadas para o governador Marcelo Déda (PT) e o secretário de Estado da Educação Belivaldo Chagas.No texto Ana Lúcia aponta que a Escola Jackson Figueiredo necessita de reforma do auditório, dos banheiros, recuperação da rede elétrica e hidráulica, reforma completa do telhado, construção de rampas de acesso à escola e ao pavimento superior do prédio, construção de banheiros e instalação de ventiladores na sala dos professores. A deputada ainda sugere a aquisição do terreno vizinho para construção de uma quadra poliesportiva coberta, a substituição dos bebedouros e dos birôs dos professores, além de instalação de ventiladores nas salas e pintura geral do prédio na Escola Estadual Jackson de Figueiredo. As duas escolas estaduais localizadas no Augusto Franco também são recomendadas reformas com o mesmo teor para atender à necessidade da prática esportiva e, de forma geral, possibilitar que a escola seja um espaço propício para o ensino e à aprendizagem.',01-LAD
'Ana Lúcia avança na luta pelo Plano de Carreira de funcionários de escola\n    15/09/2011 17:28\n    Iracema Corso/assessoria parlamentar\n    \nMaria Odília/Alese\n\n\n\n\n    A longa audiência da deputada estadual Ana Lúcia (PT) com o secretário de Estado de Educação, Belivaldo Chagas, e trabalhadores da Educação do movimento Sindicato é pra Lutar, realizada na tarde da última quarta-feira, 14, trouxe grandes avanços para a batalha pelo Plano de Carreira para os Trabalhadores da Educação do Estado de Sergipe. O próximo passo em favor da construção do Plano de Carreira será uma reunião com o secretário de Estado de Planejamento, Oliveira Júnior.\nA deputada enfatiza a legislação que considera trabalhadores da educação todos os funcionários com habilitação técnica em Multimeios, Segurança, Alimentação e Secretariado. “As pessoas que têm estes cursos são considerados trabalhadores da educação, mas como eles fizeram concurso para cargos como o de merendeira e vigilante, então temos que pensar uma transição que conste num novo estatuto. E os próximos concursos considerem estes profissionais formados, para estimular que todos estudem e se tornem profissionais da educação”, resumiu.\nESTÍMULO À QUALIFICAÇÃOHá quatro meses, Ana Lúcia explicou na tribuna aos colegas deputados a importância da formação dos funcionários de escolas e o papel que exercem na formação de acrianças e adolescentes da comunidade escolar. “Os funcionários da educação também são educadores, e têm também um papel educativo tanto quanto nós professores. Por isso é que o Governo Lula fez uma emenda na lei de Diretrizes e Bases considerando os funcionários das escolas como trabalhadores da educação. A merendeira, o porteiro e todos os funcionários precisam ter paixão pelo seu trabalho porque eles lidam diretamente com o estudante e contribuem com sua educação”, argumentou.Para Ana Lúcia é crucial que a formação dos profissionais da educação esteja assegurada com a instituição de escolas especialmente voltadas para este fim. “Queremos que o Instituto de Educação Rui Barbosa se transforme numa escola de formação permanente para todos os profissionais de educação e de iniciação para todos os funcionários de escola para que eles não precisem fazer cursos à distância, mas presenciais. Eles também necessitam de um estímulo que diferencie a sua formação, por isso precisam sentar com o Governo para que ele possa viabilizar o Plano de Carreira e eu não tenho dúvida que daqui a 4 e 5 anos teremos um plano unificado, porque todos na lei são considerados educadores. Todos os espaços da escola são espaços pedagógicos e educativos. Precisamos das condições concretas para que estes espaços sejam bem utilizados”, avaliou a deputada.',01-LAD
'Ana Lúcia faz moção para BNB contratar 500 funcionários concursados\n    07/07/2011 18:06\n    Iracema Corso/assessoria parlamentar\n    \n\n\n\n\n\n    A deputada Ana Lúcia (PT) apresentou uma moção de apelo na Assembleia Legislativa ao presidente do Banco do Nordeste, Roberto Smith, para que ele cumpra a determinação do Tribunal de Contas da União e substitua os funcionários terceirizados contratados pelos 500 funcionários efetivos concursados, aprovados na última seleção realizada em abril/2010.\n \nEm 25 de agosto de 2010, o Tribunal de Contas da União determinou que as empresas estatais da administração pública federal substituam, de forma gradativa, seus terceirizados irregulares por servidores concursados.\n\n\nO TCU estipulou um prazo de seis meses para que fosse feito um levantamento para identificar e regulamentar as atividades passíveis de terceirização como conservação, limpeza, segurança, informática, assessoramento e consultoria.\n\n\nDepois do levantamento, as empresas deverão enviar ao Ministério do Planejamento um plano detalhado de substituição dos terceirizados por concursados, com cronograma e percentual de substituições previstas em cada ano.\n \nDe acordo com o relator do processo, ministro Augusto Nardes, a fiscalização foi feita levando em consideração um cronograma do Ministério do Planejamento, que previa a redução gradual dos servidores contratados sem a realização de concurso entre 2006 e 2010. \n\nSegundo o Tribunal, as equipes técnicas constataram diversas irregularidades causadas pelo desvirtuamento das terceirizações. “De fato, a situação evidenciada é preocupante na medida que revela número significativo de empregados terceirizados ocupando postos devidos a empregados concursados, seja exercendo funções previstas nos planos de cargos e salários, seja em atividades finalísticas das entidades”, escreveu o ministro-relator.\n \nDe acordo com o TCU, os técnicos responsáveis pela fiscalização detectaram, no caso do BNDES, funções gratificadas sendo desempenhadas por pessoas estranhas aos quadros da empresa e não vinculadas a órgão ou entidade da administração pública. Na Eletrosul, a Secretaria de Controle Externo de Santa Catarina apontou a subcontratação de ex-funcionários da companhia, “contratados por mais de uma empresa em alguns casos”.\n \nA deputada defendeu na justificativa da moção de apelo que “o processo de substituição de funcionários efetivos por terceirizados é nefasto em diversas vertentes: tanto para o usuário do serviço público prestado, que usufrui de um serviço precário, fornecido por prestador que não possui estudo ou qualificação técnica necessária, afinal, não foi aprovado em concurso público; tanto para a coisa pública, já que os terceirizados são funcionários não preparados para o serviço público e não possuem a responsabilidade imputada por lei, é apenas equiparado”.',01-LAD
'Ana Lúcia pede reforma de ginásios poliesportivos\n    06/10/2011 16:42\n    Na manhã desta quinta-feira, 6, a Assembleia Legislativa aprovou indicações de autoria da deputada estadual Ana Lúcia (PT), presidente da Comissão de Educação, Cultura e Desporto, solicitando a construção de um auditório e reforma geral da Quadra Poliesportiva da Escola Alceu Amoroso de Lima, em Aracaju, e a reforma geral da Quadra Poliesportiva Marcos Antônio da Costa, situada no povoado Candeias, no município de Moita Bonita. Outra indicação aprovada, de autoria da deputada, pede a reforma geral do Ginásio Poliesportivo José Milton Machado, em Itabaiana.\n\n\nTodas as indicações serão enviadas ao governador Marcelo Déda (PT), sendo que a solicitação de reforma da Escola Alceu Amoroso de Lima também será entregue ao secretário de Educação Belivaldo Chagas, e a indicações de reforma dos Ginásios em Itabaiana e Moita Bonita serão destinadas ao secretário de Estado de Esportes, Maurício Pimentel.\n\n\nEm seu terceiro mandato e mais de nove anos de atuação na Assembleia Legislativa de Sergipe, a deputada Ana Lúcia já propôs mais de 800 indicações para reforma de escolas públicas no Estado, a exemplo da Escola Estadual Espiridião Monteiro, reformada e entregue à comunidade escolar em julho deste ano.',01-LAD
'Ana Lúcia quer discutir projeto que trata da redução da maioridade penal\n    23/08/2011 16:10\n    Iracema Corso/assessoria parlamentar\n    \nMaria Odília/Alese\n\n\n\n\n    A deputada estadual Ana Lúcia (PT) anunciou na manhã desta terça-feira, 23, que vai discutir através da Frente Parlamentar de Defesa do Direito da Criança e do Adolescente e da Comissão de Educação, Cultura e Desporto da Assembleia Legislativa, o projeto da Câmara Federal que propõe a Redução da Maioridade Penal. “Eu espero que possamos convencer o deputado André Moura de que ele está equivocado na sua proposta e que Sergipe realmente apresente propostas importantes para a mudança social e para qualificar as nossas escolas, os nossos serviços de saúde, segurança pública, e assim possamos fazer aquilo, que a Constituição diz, que é proteger e promover as crianças e os adolescentes do nosso estado e do nosso país”, indicou.\n\nAna Lúcia defendeu que a proposta de redução da maioridade penal só vai atingir a população pobre, porque a criança e o adolescente de classe média, média-alta e alta burguesia de Sergipe e do Brasil continuarão impunes a qualquer crime praticado. Ela enfatizou que não existe registro no Cenam da passagem de nenhum adolescente de família abastarda de Sergipe, e isso, assim como o racismo, e demais preconceitos sociais, têm sido aceitos pela sociedade com naturalidade. “Este é um dos grandes problemas da nossa sociedade: é naturalizar o que não é natural, o que é social, econômico e político”, criticou.\n\nA deputada citou um documento da UNICEF, publicado pela Secretaria Nacional de Direitos Humanos, informando que as crianças e adolescentes eram responsáveis por 10\% dos homicídios praticados, tendo sido as vítimas de mais de 40\% dos casos de homicídio. A UNICEF também divulgou que a redução da maioridade penal não resultou em diminuição da violência entre crianças e adolescentes em 54 países pesquisados no ano de 2007 que, a exemplo dos Estados Unidos, adotaram a medida. “Os jovens saíram de lá cometendo infrações muito maiores do que aquelas que eles já haviam cometido. E várias pesquisas na área da psicologia, psicanálise, sociologia mostram que a saída não é esta”, apontou.\nAna Lúcia ainda lembrou que os outros projetos que defendiam a redução da maioridade penal não passaram da Comissão de Constituição, pois ferem direitos de cláusula pétrea da Constituição Federal. A deputada fez um resgate da luta pela recente conquista dos direitos da criança e do adolescente. Ela sinalizou que os direitos da infância devem ser defendidos pelo menos pelos deputados que, como ela mesma, integram a Frente Parlamentar de Defesa dos Direitos da Criança e do Adolescente.\n\nPara Ana Lúcia, a redução da maioridade penal é a forma mais fácil e menos eficaz de intervir na temática da violência na sociedade, que é algo generalizado. “Precisamos é garantir que a nossa criança e o nosso adolescente tenha, não só o acesso à escola pública, mas permaneça nesta escola e tenha sua escolaridade concluída, porque nosso índice de subescolaridade é muito alto. Chega a 20\% o número de adolescentes que estão fora do Ensino Médio. E essa é uma das fases em que mais se precisa de proteção. É o que diz a nossa Constituição e o Estatuto da Criança e do Adolescente, além das leis que normatizam a escola pública neste estado e neste país. Nós precisamos discutir educação, segurança pública de forma preventiva. Enquanto medida pública, a segurança não pode trabalhar de forma isolada”, argumentou.\n\nA deputada citou novamente o caso da violência sofrida, no último fim de semana, por três jovens no Shopping Jardins que foram reagir a um roubo e acabaram apanhando por terem sido confundidos pelos seguranças com ladrões e causadores de tumulto. A deputada disse que em pouco tempo a população não vai mais se lembrar do assunto, mas a cultura da violência permanecerá. “Ou a gente discute este nosso perfil para buscar outras alternativas ou a gente vai continuar fortalecendo a cultura da violência. Nós já estamos na barbárie”, alertou a deputada.',01-LAD
'Ana Lúcia quer instituir em Sergipe o Ano Cultural Luiz Gonzaga&#8207;\n    26/10/2011 16:51\n    Iracema Corso, Assessora Parlamentar\n    \nFoto: Maria Odília, da Agência Alese\n\n\n\n\n    No ano de 2012 o mundo vai comemorar o centenário do nascimento do Rei do Baião, Luiz Gonzaga. No compasso da mobilização nacional para celebrar a vida e obra deste grande músico que vem ocorrendo em vários estados brasileiros, e especialmente os nordestinos, a deputada estadual Ana Lúcia Vieira (PT) protocolou na Assembleia Legislativa, na manhã desta quarta-feira, 26, um Projeto de Lei que pretende instituir 2012 como o ‘Ano Cultural Luiz Gonzaga’. \n“Peço que esta Casa aprove com rapidez este Projeto de Lei para que em Sergipe o centenário de Luís Gonzaga seja permeado por ações e políticas de cultura voltadas para este homem que durante toda a vida disseminou ritmos como o xote, o baião, o forró, e foi o grande líder da música brasileira e nordestina”, solicitou a deputada.\nNo documento encaminhado, Ana Lúcia explica que o objetivo do PL é divulgar esta vertente da cultura brasileira, nordestina e sergipana em nosso Estado. No texto ela acrescenta que em 2012 o Poder Público, através da Secretaria de Estado da Cultura, poderá, em conjunto com as entidades da sociedade civil organizada, criar uma comissão de organização dos festejos, comemorações e atividades culturais alusivas ao centenário de nascimento do músico Luiz Gonzaga. “Os eventos organizativos devem envolver atividades que visem promoção de debates sobre a vida e obra de Luiz Gonzaga, como também as contribuições de ritmos como o xaxado, o baião e o forró no processo de construção da identidade cultural do Povo de Sergipe”, concluiu.\nHistória e Arte de Seu Lua - Luiz Gonzaga do Nascimento nasceu no dia 13 de dezembro de 1912, na Fazenda Caiçara, povoado do Araripe à 12km de Exu, filho de Januário José dos Santos e Ana Batista de Jesus (Mãe Santana). Desde sua infância o pequeno Gonzaga namorava o fole de oito baixos, instrumento este, executado por “Pai Januário”, no qual começou seus primeiros acordes. \n“Luiz de Januário”, “Lula” ou “Lua” como era conhecido na infância, aos 8 anos de idade substituiu um sanfoneiro em festa tradicional no terreiro de Miguelzinho na Fazenda Caiçara, no Araripe, Exu, a pedido de amigos do pai. Desde aquele dia, o garoto começou a tocar com a permissão da mãe. \nQuando ainda era rapaz, vendeu sua sanfona e fugiu para Fortaleza, onde se alistou no 23º Batalhão de Caçadores do Exército, servindo no Rio Grande do Sul, Minas Gerais, Paraíba, Pará, Ceará, Piauí, Belo Horizonte, Campo Grande e no Rio de Janeiro. Deu baixa no Exército em Minas Gerais, no dia 27 de março de 1939 e viajou para o Rio de Janeiro, para esperar o navio que o levaria a Recife, em seguida a Exu. Resolveu então a convite de um amigo, ganhar a vida tocando no Mangue, com uma sanfona de 80 baixos, uma Horner branquinha, sua primeira sanfona branca comprada em São Paulo. \n \nEm 1940 Gonzaga conhece o guitarrista português, Xavier Pinheiros, e forma dupla tocando no Mangue e nas casas noturnas (cabarés), do Rio de Janeiro. A partir de 1941, Luiz Gonzaga já tinha o título de MAIOR SANFONEIRO NORDESTINO. Mas sofreu muito no Rio de Janeiro para se firmar artisticamente.  \nNo dia 22 de setembro de 1945 nasceu Luiz Gonzaga do Nascimento Júnior, o Gonzaguinha, fruto do amor de Luiz Gonzaga com Odaléia Guedes dos Santos, cantora e bailarina profissional do coro de Ataulfo Alves, com quem conviveu por cinco anos, pois Odaléia faleceu de tuberculose em 1952, quando Gonzaguinha tinha 7 anos. \nEm 1946 com Humberto Teixeira, Luiz Gonzaga compõe e grava a primeira de uma série de 18 parcerias: NO MEU PÉ DE SERRA. O sucesso de Gonzaga com esta música começa a ser enorme, e ao mesmo tempo seu nome começa a correr pelo mundo: Europa, EUA, Japão, etc. Neste mesmo ano Luiz Gonzaga resolve então rever a família, e chega em casa pela madrugada. Fica frente a frente com Seu Januário e é interrogado: “Quem é o Sinhô? Luiz Gonzaga seu filho! Isso é hora de você chegar em casa, corno sem vergonha!?”. \nDeste encontro, Luiz Gonzaga, junto com Humberto Teixeira, compõem a música RESPEITA JANUÁRIO, em homenagem àquele homem que foi o responsável pela inclinação do “negrinho fiota” para a música. Em 1947 no mês de março, Gonzaga gravou a música ASA BRANCA, que foi inicialmente refutada pelo diretor. A música ASA BRANCA começou a receber diferentes interpretações e gravações em vários países, como Israel e Itália. Em julho de 1947, na Rádio Nacional, Luiz Gonzaga conheceu Helena das Neves Cavalcanti, sua futura esposa. Em 1950, o Lua recebe dos paulistas o título de “REI DO BAIÃO” que o consagra até nossos dias. Neste mesmo ano “Lua” grava também a toada ASSUM PRETO e os baiões QUI NEM JILÓ e PARAÍBA, Gonzaga neste período está no auge de sua carreira. \nEm 1972 Luiz Gonzaga recebe o título de Cidadão de Caruaru. No dia 24 de março de 1972, no Teatro Carioca Tereza Raquel – Rio de Janeiro, Luiz Gonzaga faz uma apresentação com o título: “LUIZ GONZAGA VOLTA PRA CURTIR”. Em 1977, Luiz Gonzaga entrou na Versão Brasileira da Enciclopédia Universal Britânica. Em 1981, o velho Lua recebe os dois únicos discos de ouro de toda sua carreira (vale ressaltar que é segundo Assis Ângelo e Gildson Oliveira, segundo Dominique Dreyfus Luiz Gonzaga ganhou mais discos de ouro). Em 1982 Luiz Gonzaga vai tocar em Paris a convite de Nazaré Pereira. Permaneceu em Paris dez dias, conhecendo vários pontos importantes. Em 1984, Luiz Gonzaga recebeu o PRÊMIO SHELL. Em 1985, é agraciado com o troféu NIPPER DE OURO, uma homenagem internacional da RCA.\nNo dia 06 de junho de 1989, Luiz Gonzaga realizou seu último show no Teatro Guararapes, do Centro de Convenções de Recife, onde recebeu homenagens de vários artistas do país e se despediu do povo nordestino com palavras simples e cheias de emoção. “Gostaria que lembrassem que sou filho de Januário e Dona Santana. Gostaria que lembrassem muito de mim; que esse sanfoneiro amou muito seu povo, o Sertão. Decantou as aves, os animais, os padres, os cangaceiros, os retirantes. Decantou os valentes, os covardes e também o amor. (...) Muito obrigado”, expressou.\nO Rei do Baião faleceu no dia 02 de agosto de 1989, às 5h15 da manhã no Hospital Santa Joana, em Recife. Seu corpo foi velado na Assembleia Legislativa de Recife nos dias 02 e 03 até às 9h45 da manhã, foi velado também em Juazeiro do Norte-CE, na Igreja Nossa Senhora do Perpétuo Socorro às 17h, local onde repousa os restos mortais de Pe. Cícero Romão Batista. O corpo do Rei do Baião chegou a sua terra natal, sua querida Exu, no dia 3, à noite. Foi velado na Igreja Matriz durante a noite do dia 03 e todo o dia 04, saindo para o sepultamento no Cemitério São Raimundo no cair da tarde.',01-LAD
'Ana Lúcia quer reforma geral no Gonzagão e Centro de Criatividade\n    01/11/2011 18:09\n    Iracema Corso, da Assessoria Parlamentar\n    \nFOTO MARIA ODILIA \n\n\n\n\n    A deputada estadual Ana Lúcia Vieira (PT) está solicitando a reforma geral do Centro de Criatividade, no bairro Getúlio Vargas, e do Espaço Gonzagão, no Augusto Franco, através de suas indicações, protocoladas na manhã desta terça-feira, 1º de novembro, na Assembleia Legislativa de Sergipe, direcionadas ao governador Marcelo Déda (PT) e à secretária de Estado de Cultura, Eloísa Galdino (PT). \nNo documento, a deputada explica que o Centro de Criatividade está precisando de manutenção elétrica e hidráulica, reforma nos sanitários masculino e feminino, reforma e estruturação do auditório e das salas de aula, pintura interna e externa de todo prédio, reforma de quadra esportiva, substituição de todo alambrado, reforma completa do anfiteatro, inclusive de toda arquibancada do complexo externo. \nNa justificativa, Ana Lúcia frisa que esta reparação na estrutura física é fundamental para que o Centro de Criatividade, fundado em 1985, consiga cumprir melhor seu papel para a arte e educação em Aracaju. “O Centro de Criatividade é um dos mais importantes espaços culturais sergipanos, pois abriga as mais diversas manifestações artísticas, que caracterizam bem a nossa cultura. Todos conhecem o Centro pelos tradicionais festejos juninos com concursos de quadrilhas que atraem centenas de visitantes. Os diversos trabalhos e oficinas realizados lá engrandecem ainda mais sua história”, explicou a deputada no texto do documento encaminhado. \nESPAÇO GONZAGÃO \nAssim como o centro de Criatividade, a deputada Ana Lúcia solicita ao governador Marcelo Déda e à secretária Eloísa Galdino, uma reparação geral na estrutura física do Espaço Gonzagão. Além da manutenção elétrica, hidráulica e reforma dos sanitários, Ana Lúcia atenta para a necessidade de manutenção do painel de Luiz Gonzaga, reforma e estruturação da pista de dança interna, bem como a área externa (quiosques e quadra), reforma das salas das oficinas, da bilheteria, substituição das luminárias danificadas e pintura interna e externa de todo prédio do Espaço Gonzagão, localizado no conjunto Augusto Franco em Aracaju. \nInaugurado na década de 90, o Gonzagão foi criado para ser um espaço voltado à democratização cultural. “Por sua localização estratégica, o Gonzagão pode voltar a ser um grande referencial turístico, com apresentação de artistas locais e de outros estados”, observou a deputada no documento encaminhado.',01-LAD
'Ana Lúcia quer tototós trabalhando para educação ambiental\n    28/06/2011 14:55\n    Iracema Corso/assessoria parlamentar\n    \n\n\n\n\n\n    Os pequenos barcos de madeira movidos a motor e chamados de tototó como patrimônio cultural e imemorial de Sergipe. Esta é a defesa feita pela deputada estadual Ana Lúcia (PT). Na manhã desta terça-feira, 28, a Assembleia Legislativa aprovou uma indicação de sua autoria solicitando ao governador Marcelo Déda (PT) providências para a implantação de ações programadas de educação ambiental e apoio a pesquisas científicas utilizando as embarcações tototós em defesa do Rio Sergipe.\n\nA deputada ainda informa que na Assembleia tramita um projeto de sua autoria para considerar as embarcações como patrimônio cultural e imemorial de Sergipe. “Avaliamos que os tototós podem contribuir com pesquisas, campanhas ecológicas, e até com o turismo, pois existem muitas pessoas que querem conhecer o estuário do nosso rio, que é muito bonito. Esta é também uma forma de estimular e ajudar economicamente os trabalhadores que sempre sobreviveram da realização deste trabalho de transporte de passageiros de uma margem a outra do Rio Sergipe”, apontou.\n\nA bacia hidrográfica do Rio Sergipe contempla, integralmente ou parcialmente, um total de vinte e seis municípios, ocupando uma área de 564 km2, sendo que 92 km2 se encontram no município de Aracaju. O rio possui um curso de cerca de 145Km de extensão e corre numa direção média de NW a SE, atravessando o sertão sergipano e lançando-se no oceano Atlântico, na altura do porto de Aracaju.',01-LAD
'Ana Lúcia realiza “Calçadão Popular” no aniversário de 21 anos do ECA\n   Para marcar a data, o mandato democrático da deputada Ana Lúcia Menezes (PT) realiza o “Calçadão Popular – ECA 21 anos: Avanços e Desafios” durante toda a manhã (das 8 à 12 horas), no Calçadão da João Pessoa com a Rua Geru, em frente à Caixa Econômica Federal. O objetivo da mobilização é divulgar o Estatuto que, mesmo com 21 anos de existência, ainda não é amplamente conhecido pela população.\n\nA deputada e toda sua assessoria estarão juntos participando da mobilização através da entrega de panfletos informativos, atividades lúdicas com as crianças, apresentação cultural, além da presença de profissionais que atuam no sistema de Garantia de Direitos da Criança e do Adolescente.\n\n\nAVANÇOS E DESAFIOS\n\nNo dia 13 de julho de 1990, o Brasil deu um grande passo com a criação do Estatuto da Criança e do Adolescente. Essa legislação foi feita para garantir que crianças e adolescentes fossem considerados como seres humanos em processo de desenvolvimento, com direito a brincar, a ter uma educação que lhe prepare para a vida adulta, a se alimentar, a ter assistência médica e a viver num seio familiar propício ao seu crescimento saudável.\n\nO ECA veio para substituir o antigo Código de Menores, que não era direcionado a todas as crianças, mas apenas àquelas tidas como estando em “situação irregular”, ou seja: “o menor, de um ou outro sexo, abandonado ou delinqüente, que tiver menos de 18 anos de idade”. O Código de Menores de 1927 não considerava a criança e o adolescente como sujeitos de direitos e não oferecia instrumentos para o combate a problemas muito sérios como a exploração do trabalho infantil, a violência sexual de crianças ou o espancamento de bebês, crianças e adolescentes, que em alguns casos chegam a vitimá-los.\n\n\nO Estatuto da Criança e do Adolescente contempla o que há de mais avançado na normativa internacional em respeito aos direitos da população infanto-juvenil. Este novo documento altera as possibilidades de uma intervenção arbitrária do Estado na vida de crianças e jovens. Como exemplo disto pode-se citar a restrição que o ECA impõe à medida de internação, aplicando-a como último recurso, restrito aos casos de cometimento de ato infracional.\n\n\nHá 21 anos da consolidação do Estatuto, ainda há muitos brasileiros que desconhecem sua existência. Em todo o país, várias crianças e adolescentes pobres continuam realizando trabalhos domésticos e serviços insalubres que lhe distanciam do acesso à educação e da construção de um futuro melhor. Será que são ‘crianças invisíveis’ os meninos e meninas em situação de rua ou as crianças violentadas e usadas sexualmente por adultos? Uma das principais funções do ECA é proteger o direito à infância das crianças brasileiras de todas as classes sociais. Só que essa conquista depende do engajamento da população como um todo em defesa do ECA e da luta pelos direitos das crianças e adolescentes brasileiros.',01-LAD
